Site,Number,Year,Type,Morph,notes (number is threshold),total.area,melanin.area,melanin.prop
FRP,1,2018,Pinned Moth,Light,threshold at 102,4015900,2577897,0.641922607634652
FRP,2,2018,Pinned Moth,Light,threshold at 112,3866316,2382302,0.616168466312635
FRP,3,2018,Pinned Moth,Light,threshold at 90,4973128,2929741,0.589114336087871
FRP,4,2018,Pinned Moth,Light,threshold at 106,3212069,2098618,0.653353959706345
FRP,5,2018,Pinned Moth,Light,threshold at 99,4280792,2446417,0.571487005208382
FRP,6,2018,Pinned Moth,Light,threshold at 92,4357960,2475270,0.567988233026462
FRP,7,2018,Pinned Moth,Light,threshold at 93,4017035,2352474,0.585624471780803
FRP,8,2018,Pinned Moth,Light,96,3774961,2236220,0.592382278916259
FRP,9,2018,Pinned Moth,Light,96,3417514,2070196,0.605760795712907
FRP,10,2018,Pinned Moth,Light,99,3955225,2716302,0.686762952802938
FRP,11,2018,Pinned Moth,Light,100,4571382,3368738,0.736918944861751
FRP,12,2018,Pinned Moth,Light,97,3387402,2616074,0.772295109939712
FRP,13,2019,Pinned Moth,Light,94,4693615,2914407,0.620930135939995
FRP,14,2019,Pinned Moth,Light,98,5242245,3073509,0.586296329149057
FRP,15,2019,Pinned Moth,Light,100,4806135,2762552,0.574797004245615
FRP,16,2019,Pinned Moth,Light,100,4682508,2558936,0.546488334883784
FRP,17,2019,Pinned Moth,Light,99,4605851,2988120,0.648766102073211
FRP,18,2019,Pinned Moth,Light,100,5570801,2990598,0.536834469585253
PDM,1,2018,Pinned Moth,Light,98,4053063,3026493,0.746717482555786
PDM,2,2018,Pinned Moth,Light,102,4823190,2254462,0.467421353917221
PDM,3,2018,Pinned Moth,Light,99,4108869,2833000,0.689484137849126
PDM,4,2018,Pinned Moth,Light,102,4304467,2497223,0.580146856742077
PDM,5,2018,Envelope moth,?,Missing,,,
PDM,6,2018,Envelope moth,Light,Missing,,,
PDM,7,2018,Envelope moth,?,Missing,,,
PDM,8,2018,Envelope moth,?,Missing,,,
GGT,1,2018,Pinned Moth,Light,92,3778125,2827057,0.748269842845327
GGT,2,2018,Pinned Moth,Light,98,4663538,3005140,0.644390589290792
GGT,3,2018,Pinned Moth,Intermediate,98,4239872,2935843,0.692436705636397
GGT,4,2018,Pinned Moth,Intermediate,106,4286825,3421272,0.79808996168493
GGT,5,2019,Pinned Moth,Light,96,5502808,3229635,0.586906721077675
GGT,6,2019,Pinned Moth,Intermediate,98,4409395,3417020,0.774940779857554
GGT,7,2019,Pinned Moth,Intermediate,97,4648393,3761810,0.809271074971501
GGT,8,2019,Pinned Moth,Light,98,5238160,2677171,0.511089962887732
GGT,9,2019,Pinned Moth,Light,96,4357550,2339455,0.536873931452307
GGT,10,2019,Pinned Moth,Intermediate,95,4718135,3478769,0.737318665108141
GGT,11,2018,Envelope moth,,Missing,,,
GGT,12,2018,Envelope moth,,Missing,,,
PRS,1,2018,Pinned Moth,Light,98,3235761,2078914,0.642480702375732
PRS,2,2018,Pinned Moth,Light,98,3959609,3000647,0.757813965974923
PRS,3,2018,Pinned Moth,Light,96,3936109,2595073,0.659299069207687
PRS,4,2018,Pinned Moth,Light,96,3464400,2425192,0.700032328830389
PRS,5,2019,Pinned Moth,Light,95,4972414,3399268,0.683625297491319
PRS,6,2018,Envelope pupa,,Missing,,,
PRS,7,2018,Envelope pupa,,Missing,,,
PRS,8,2018,Envelope pupa,,Missing,,,
PRS,9,2018,Envelope moth,Light,Missing,,,
PRS,10,2018,Envelope moth,Light,Missing,,,
PRN,1,2018,Pinned Moth,Light,95,3349049,2443142,0.729503211210108
PRN,2,2018,Pinned Moth,Light,97,4250038,3055362,0.71890227805022
PRN,3,2018,Pinned Moth,Light,94,4602610,2904014,0.630949396103515
PRN,4,2018,Pinned Moth,Light,92,4225096,2856469,0.676071975642684
PRN,5,2018,Pinned Moth,Light,98,4240453,2417595,0.570126587890492
PRN,6,2018,Pinned Moth,Light,93,3610781,2456912,0.680437833255465
PRN,7,2018,Pinned Moth,Light,95,3493594,2451446,0.701697449675034
PRN,8,2018,Envelope moth,,Missing,,,
PRN,9,2018,Envelope moth,Light,Missing,,,
PRN,10,2018,Envelope moth,Light,Missing,,,
PRK,1,2019,Pinned Moth,Light,94,4883723,3291343,0.673941376281988
BMR,1,2018,Pinned Moth,Light,93,3853495,2138769,0.555020572233777
BMR,2,2018,Pinned Moth,Light,91,5660214,3238258,0.572108757725415
BMR,3,2018,Pinned Moth,Light,90,4888940,3024866,0.618716122513265
BMR,4,2018,Pinned Moth,Light,91,4759846,2628893,0.552306314111843
BMR,5,2018,Pinned Moth,Light,92,4091584,2549059,0.623000529868139
BMR,6,2018,Pinned Moth,Light,91,4937212,3120642,0.632065627321654
BMR,7,2018,Pinned Moth,Light,91,4434579,2755093,0.621274984615225
BMR,8,2018,Pinned Moth,Light,95,5278808,3201925,0.606562125388914
BMR,9,2018,Pinned Moth,Light,94,4878011,2974216,0.609719002273673
BMR,10,2018,Pinned Moth,Light,94,5018598,2870695,0.572011346595204
BMR,11,2017,Pinned Moth,Light,93,4736894,2883583,0.608749741919494
BMR,12,2017,Pinned Moth,Light,92,5129365,3237007,0.6310736319213
BMR,13,2017,Pinned Moth,Light,90,4809801,2858059,0.5942156442647
MSP,1,2018,Pinned Moth,Light,97,2990474,1774344,0.59333202696295
MSP,2,2018,Envelope moth,Light,Missing,,,
MSP,3,2018,Envelope moth,Light,Missing,,,
MSP,4,2017,Unpinned moth,Light,95,4364132,2848862,0.652790062262095
MSP,5,2017,Unpinned moth,Light,98,3659230,2086495,0.570200561320278
MSP,6,2017,Unpinned moth,Light,99,3872139,1987208,0.513206783124263
MSP,7,2017,Unpinned moth,Light,99,3719460,2120515,0.570113672414813
MSP,8,2017,Unpinned moth,Light,97,5044047,2619166,0.519258841164644
MSP,9,2017,Unpinned moth,Light,95,3267883,1799316,0.550606003948122
MSP,10,2017,Pinned Moth,Light,Missing,,,
MSP,11,?,,,99,3893708,2022520,0.519432890191047
HOS,1,2018,Pinned Moth,Light,98,4804068,3070598,0.639166223292426
HOS,2,2018,Pinned Moth,Light,94,3829505,2353778,0.614642884654805
HOS,3,2018,Pinned Moth,Light,94,3476066,2160154,0.621436416914984
HOS,4,2018,Pinned Moth,Light,95,4388318,2576761,0.587186480104678
HOS,5,2018,Pinned Moth,Light,98,3590450,2128873,0.592926513389686
HOS,6,2018,Pinned Moth,Light,95,3898612,2539504,0.651386698650699
HOS,7,2018,Pinned Moth,Light,97,3812727,2309115,0.605633448185511
HOS,8,2018,Pinned Moth,Light,95,4341201,2626678,0.605057909090134
HOS,9,2018,Pinned Moth,Light,95,4514737,2730620,0.604823713983782
HOS,10,2018,Pinned Moth,Light,96,3326260,2296233,0.690334790425282
HOS,11,2018,Pinned Moth,Light,94,3288259,2011296,0.611659847962098
HOS,12,2018,Pinned Moth,Light,97,3909905,2284521,0.584290666908787
HOS,13,2018,Pinned Moth,Light,95,4522564,2123069,0.469439238449694
HOS,14,2019,Pinned Moth,Light,94,4680317,2947577,0.629781487023208
HOS,15,2019,Pinned Moth,Light,95,3865467,2337138,0.604619829893775
HOS,16,2019,Pinned Moth,?,wings not fully developed; 96,3590438,2679222,0.746210350937685
HOS,17,,,,95,4375436,2660255,0.607997694401198
HOS,18,2019,Pinned Moth,Light,95,4229446,2292858,0.542117809282823
HOS,19,2019,Pinned Moth,Light,97,4739831,2820995,0.595167844591927
HOS,20,2019,Pinned Moth,Light,94,4696564,2967664,0.631879816819275
FWF,1,2018,Pinned Moth,Light,98,4033956,2623135,0.65026366177519
FWF,2,2018,Pinned Moth,Light,98,4101786,2538979,0.618993531110594
FWF,3,2018,Pinned Moth,Light,97,4074923,2340549,0.574378706051624
FWF,4,2018,Pinned Moth,Light,96,4344861,2661719,0.612613153792492
FWF,5,2018,Pinned Moth,Light,94,4327291,2816725,0.650921095900414
FWF,6,2018,Pinned Moth,Light,96,4623845,2657543,0.574747423410603
FWF,7,2019,Pinned Moth,Light,moldy; 99,4866484,2930422,0.602164108625447
FWF,8,2019,Pinned Moth,Light,97,4401062,3100510,0.704491325048363
FWF,9,2019,Pinned Moth,Light,moldy; 96,3849712,2482930,0.644965129859065
FWF,10,2019,Pinned Moth,Dark,Mislabeled??; 99,3595422,2808354,0.781091621512023
FWF,11,2019,Pinned Moth,Light,99,3944508,2537078,0.643192509686886
RCR,1,2018,Pupa,,Missing,,,
YRK,1,2018,Pinned Moth,Dark,109,3737684,3124869,0.836044192071882
YRK,2,2018,Pinned Moth,Intermediate,98,3917608,2921743,0.745797690835837
YRK,3,2018,Pinned Moth,Dark,96,5469157,4639570,0.848315380231359
YRK,4,2019,Pinned Moth,Dark,96,6089309,5071490,0.832851477893469
YRK,5,2019,Pinned Moth,Dark,96,4565714,3698773,0.81011929349933
YRK,6,2019,Pinned Moth,Dark,96,5553084,4699733,0.846328454602884
YRK,7,2019,Pinned Moth,Dark,97,4438982,3635203,0.818927177447442
YRK,8,2019,Pinned Moth,Dark,99,4212776,3519981,0.83554905364064
YRK,9,2019,Pinned Moth,Dark,99,4739517,3875163,0.817628251992766
YRK,10,2019,Larva,,Missing,,,
CHA,1,2019,Pinned Moth,Light,98,4993003,3031137,0.607076943474699
CHA,2,2019,Pinned Moth,Light,97,3597780,1909073,0.530625274474815
CHA,3,2019,Pinned Moth,Light,97,4652054,2765312,0.594428181616121
CHA,4,2018,Pinned Moth,Dark,98,3778158,2813591,0.744699136457501
CHA,5,2019,Pinned Moth,Intermediate,98,4498146,2869850,0.638007303453467
CHA,6,2019,Pinned Moth,Light,99,3350129,1740733,0.519601782498525
CHA,7,2019,Pinned Moth,Light,97,4550231,2431733,0.534419681110695
CHA,8,2019,Larva,,Missing,,,
CHA,9,2019,Larva,,Missing,,,
CHA,10,2019,Larva,,Missing,,,
JFW,1,2019,Envelope moth,Light,Missing,,,
JFW,2,2019,Envelope moth,Light,Missing,,,
JFW,3,2019,Larva,,Missing,,,
JFW,4,2019,Larva,,Missing,,,
FVW,1,2018,Pinned Moth,Light,97,3377837,1841310,0.545115113606725
FVW,2,2018,Pinned Moth,Intermediate,97,4750568,3548321,0.746925630787729
FVW,3,2018,Pinned Moth,Dark,95,3896540,3218102,0.825887069040739
FVW,4,2018,Pinned Moth,Intermediate,96,3592469,2710447,0.754480275264727
FVW,5,2018,Pinned Moth,Intermediate,97,4451496,3287109,0.738427935237951
FVW,6,2018,Pinned Moth,Light,96,3703265,2233852,0.603211490401038
FVW,7,2019,Pinned Moth,Light,95,3833416,2331116,0.608104103494116
FVW,8,2019,Pinned Moth,Dark,95,4728866,3547235,0.750123814039138
FVW,9,2019,Pinned Moth,Dark,95,3700545,2974527,0.803807817497152
FVW,10,2019,Pinned Moth,Light,96,3859820,2118435,0.548842951225705
FVW,11,2019,Pinned Moth,Light,97,3950228,2236834,0.566254403543289
FVW,12,2018,Pinned Moth,?,97,3159506,2246356,0.710983299287927
FVW,13,2018,Pinned Moth,Dark,97,4207234,3349539,0.796138032731243
FVW,14,2019,Pinned Moth,Light,97,3503273,1797869,0.513196944685727
GRO,1,2018,Pinned Moth,Dark,99,4677447,3939507,0.842234449690184
GRO,2,2018,Pinned Moth,Light,98,4503051,2545594,0.565304279254221
GRO,3,2018,Pinned Moth,Light,98,4003820,2133929,0.532973260536188
GRO,4,2018,Pinned Moth,Light,98,2920611,1815167,0.621502486979608
GRO,5,2018,Pinned Moth,Dark,98,4441972,3467920,0.780716312484635
GRO,6,2018,Pinned Moth,Intermediate,97,4856185,3576790,0.736543191826506
GRO,7,2018,Pinned Moth,Dark,96,4154377,3255481,0.783626762809442
GRO,8,2018,Pinned Moth,Dark,98,4113438,3419060,0.831192788125164
GRO,9,2018,Pinned Moth,Light,97,4253981,2444335,0.57459941640548
GRO,10,2018,Pinned Moth,Light,96,4628529,2849608,0.615661692948235
GRO,11,2018,Pinned Moth,Dark,97,4434916,3587988,0.809031783240088
GRO,12,2018,Pinned Moth,Light,96,5153187,3000542,0.582269186039629
GRO,13,2018,Pinned Moth,Dark,95,4675115,3726588,0.797111514903911
GRO,14,2018,Pinned Moth,Light,98,4448574,2400712,0.539658776048235
GRO,15,2019,Pinned Moth,Dark,97,3489762,2854977,0.81810077592684
GRO,16,2019,Pinned Moth,Dark,97,4044059,3086989,0.763339258898053
GRO,17,2019,Pinned Moth,Dark,95,4047348,3438257,0.849508616506414
GRO,18,2019,Pinned Moth,Intermediate,98,4946644,3793003,0.766783095771598
GRO,19,2019,Pinned Moth,Intermediate,97,4851791,3813268,0.785950590204731
GRO,20,2019,Pinned Moth,Dark,98,3171012,2500158,0.788441670987054
POB,1,2018,Pinned Moth,Light,98,3592980,1717979,0.478148779007954
POB,2,2018,Pinned Moth,Light,99,3471804,1936791,0.557863001482803
POB,3,2018,Pinned Moth,Light,96,3532381,2061517,0.583605505748106
POB,4,2018,Pinned Moth,Dark,98,4315306,3457392,0.801192777522614
POB,5,2018,Pinned Moth,Light,97,5577004,2762488,0.495335488373327
POB,6,2019,Pinned Moth,Dark,96,4845255,3606881,0.744415103023473
POB,8,2019,Pinned Moth,Light,97,2841849,1147967,0.403950737706331
POB,9,2019,Pinned Moth,Dark,96,4170898,3369259,0.807801821094642
POB,10,2019,Pinned Moth,Light,97,3812036,2154020,0.565057622750677
POB,11,2019,Pinned Moth,Light,96,4448689,2448851,0.550465766431414
SHP,1,2018,Pinned Moth,Dark,97,4217104,3241177,0.768578863599285
SHP,2,2018,Pinned Moth,Light,96,4363854,2257240,0.517258368405542
SRD,1,2019,Pinned Moth,Dark,97,3518290,2480631,0.705067234366695
SRD,2,2019,Pinned Moth,Dark,96,3414919,2749451,0.805129199257728
SRD,3,2018,Pinned Moth,Dark,97,4217717,3245720,0.769544281894684
SRD,4,2018,Pinned Moth,Dark,98,3827372,2880376,0.75257278362281
SRD,5,2018,Pinned Moth,Dark,96,4102599,3211248,0.78273504186005
SRD,6,2018,Pinned Moth,Light,98,3522467,2098023,0.595611825462098
SRD,7,2018,Pinned Moth,Dark,96,3860554,3027889,0.78431463463534
SRD,8,2018,Pinned Moth,Intermediate,97,4005247,2803479,0.69995158850378
SRD,9,2018,Pinned Moth,Dark,96,3971337,3048245,0.767561403124439
SRD,10,2018,Pinned Moth,Light,96,4011211,2296872,0.572613108609844
SRD,11,2018,Pinned Moth,Dark,95,3836414,3048268,0.794561796511013
LWC,1,,Larva,,Missing,,,
LWC,2,,Larva,,Missing,,,
LWC,3,,Larva,,Missing,,,
LWC,4,,Larva,,Missing,,,
LWC,5,,Larva,,Missing,,,
NET,1,2019,Larva,,Missing,,,
NET,2,2019,Larva,,Missing,,,
BFT,1,2019,Pinned Moth,Dark,98,4288180,3300094,0.769579168784892
BFT,2,2018,Pinned Moth,Light,97,3092680,2035042,0.658018935033692
BFT,3,,Larva,,Missing,,,
BFT,4,,Larva,,Missing,,,
BFT,5,,Larva,,Missing,,,
BFT,6,,Larva,,Missing,,,
BFT,7,,Larva,,Missing,,,
RKP,1,2019,Pinned Moth,Light,97,4209012,2870437,0.681974059470489
RKP,2,2019,Pinned Moth,Light,98,3818953,2446373,0.640587354701668
RKP,3,2018,Pinned Moth,Dark,97,2177725,1770206,0.812869393518465
RKP,4,2019,Pinned Moth,Light,96,5260197,3252774,0.61837493918954
RKP,5,2018,Envelope moth,Dark,Missing,,,
RKP,6,2018,Larva,,Missing,,,
RKP,7,2018,Larva,,Missing,,,
RKP,8,2018,Larva,,Missing,,,
NSQ,1,2019,Pinned Moth,Intermediate,95,4871334,3648787,0.749032400570357
NSQ,2,2019,Pinned Moth,Light,95,5108545,2974401,0.582240344364198
NSQ,3,2019,Pinned Moth,Light,96,4222693,2693276,0.637810042075045
NSQ,4,2018,Pinned Moth,Light,96,3641126,2372120,0.65147978949369
NSQ,5,2018,Envelope moth,Light,Missing,,,
NSQ,6,,Larva,,Missing,,,
NSQ,7,,Larva,,Missing,,,
NSQ,8,,Larva,,Missing,,,
JFB,1,2019,Pinned Moth,Light,95,4223410,2423013,0.57371010628852
JFB,2,2019,Pinned Moth,Light,96,4557387,3028630,0.664554052574425
JFB,3,2019,Pinned Moth,Light,97,5118917,2916001,0.569651940049038
JFB,4,2019,Pinned Moth,Light,97,4938032,3158807,0.639689455232368
JFB,5,2019,Pinned Moth,Light,97,3925367,2039614,0.519598294885548
JFB,6,2019,Pinned Moth,Light,95,3628217,2070279,0.570605065794025
JFB,7,2019,Pinned Moth,Light,96,4640689,2866958,0.617787143245324
JFB,8,2019,Pinned Moth,Light,97,4919068,3128040,0.635900947089977
JFB,9,2019,Larva,,Missing,,,
LOY,1,,Larva,,Missing,,,
LOY,2,,Larva,,Missing,,,
LOY,3,,Larva,,Missing,,,
LOY,4,,Larva,,Missing,,,
LOY,5,,Larva,,Missing,,,
LOY,6,,Larva,,Missing,,,
LOY,7,,Larva,,Missing,,,
LOY,8,,Larva,,Missing,,,
LOY,9,,Larva,,Missing,,,
LOY,10,,Larva,,Missing,,,
LOY,11,,Larva,,Missing,,,
LOY,12,,Larva,,Missing,,,
LOY,13,,Pupa,,Missing,,,
WAC,1,2018,Pinned Moth,Dark,97,4393807,3804394,0.865853689067362
WAC,2,2018,Pinned Moth,Dark,99,4863019,2820217,0.57993131427206
WAC,3,2018,Pinned Moth,Light,97,4897529,2694287,0.550131913460849
WAC,4,2018,Pinned Moth,Light,97,4376115,3588813,0.820091108208993
WAC,5,2018,Pinned Moth,Dark,98,4677515,3870907,0.82755629859017
WAC,6,2018,Pinned Moth,Dark,97,4861668,3676690,0.75626101988042
WAC,7,2018,Envelope moth,,Missing,,,
WAC,8,2018,Pupa,,Missing,,,
WAC,9,2018,Larva,,Missing,,,
WAC,10,2018,Larva,,Missing,,,
WIL,1,2018,Pupa,,Missing,,,
WIL,2,2018,Pupa,,Missing,,,
WIL,3,2018,Pupa,,Missing,,,
WIL,4,2018,Larva,,Missing,,,
WIL,5,2018,Larva,,Missing,,,
WIL,6,2018,Larva,,Missing,,,
WIL,7,2018,Larva,,Missing,,,
WIL,8,2018,Larva,,Missing,,,
WIL,9,2018,Larva,,Missing,,,
WIL,10,2018,Larva,,Missing,,,
WIL,11,2018,Larva,,Missing,,,
WIL,12,2018,Larva,,Missing,,,
WIL,13,2018,Larva,,Missing,,,
WIL,14,2018,Larva,,Missing,,,
LAM,1,2018,Pinned Moth,Dark,96,4645119,3905473,0.840769203114065
LAM,2,2018,Pinned Moth,Light,96,4546460,2322179,0.510766398472658
LAM,3,2018,Pinned Moth,Light,98,5583046,2890999,0.517817513952061
LAM,4,2018,Larva,,Missing,,,
LAM,5,2018,Larva,,Missing,,,
LAM,6,2018,Larva,,Missing,,,
LAM,7,2018,Larva,,Missing,,,
LAM,8,2018,Larva,,Missing,,,
LAM,9,2018,Larva,,Missing,,,
LAM,10,2018,Larva,,Missing,,,
LAM,11,2018,Larva,,Missing,,,
BCR,1,2018,Pupa,,BMR,,,
82M,1,1982,Moth,,BMR,,,
82C,1,1982,Larva,,BMR,,,
AMCM,1,2003?,Moth,,BMR,,,
AMCP1,1,2003?,Pupa,,BMR,,,
